BuilderSubdivisionID,Subdivision,Builder,Status,ProductStyle,City,County,State,Latitude,Longitude,SubmarketID,SubmarketName,UnitsPlanned,UnitsRemaining,AnnualStarts,AnnualClosings
9B8527F8-564F-4F6B-9B5D-F982413710E6,Roberts Rd Estates,,Active,Single-Family Detached,Chunchula,Mobile,AL,30.926141,-88.175393,SM-02,Central Mobile,13,13,0.0,0.0
A1B30ADF-BCA2-4F7F-B8FB-7910C330EE65,Southern Day Chateau,CJL Homes,Active,Single-Family Detached,Baker,Okaloosa,FL,30.769866,-86.681533,SM-15,Okaloosa County,18,2,18.0,16.0
B71C59A7-7303-45E2-8E22-128E6083FD6F,Eagle Pointe,DSLD Homes,Active,Single-Family Detached,Pensacola,Escambia,FL,30.513425,-87.33052,SM-11,Cantonment,145,123,17.0,22.0
5A16F401-1C1E-4363-88EC-BE916B44A684,Cross Creek Estates,Century Communities | Halifax Homes | Lennar Homes,Active,Single-Family Detached,Freeport,Walton,FL,30.525497,-86.133471,SM-20,Freeport,199,50,30.0,13.0
AB23E806-9C1C-469F-B599-591DD3B06EF2,East Bay Park ,Porch Swing Homes,Active,Single-Family Detached,Panama City,Bay,FL,30.12423,-85.575727,SM-28,Panama City,11,7,5.0,4.0
07A735C3-1E92-4EBE-863A-BA3C605009E1,Ridge at Robertsdale,DSLD Homes,Active,Single-Family Detached,Robertsdale,Baldwin,AL,30.531847,-87.716195,SM-12,Central Baldwin,97,66,27.0,31.0
05F2EA92-DFA9-4A21-B146-056E71DBAC71,Independence/SF,D.R. Horton Inc,Active,Single-Family Detached,Daphne,Baldwin,AL,30.693421,-87.80582,SM-12,Central Baldwin,158,57,55.0,50.0
F449BFAA-C927-447B-8421-007B614C9B7C,"Sandbar, The",Fischer Homes,Active,Single-Family Detached,Santa Rosa Beach,Walton,FL,30.3728,-86.246844,SM-22,Walton and Bay Beaches,10,10,0.0,0.0
DF8BD42C-17CF-4372-A232-40AF154C02E3,Parkbrook,Adams Homes,Active,Single-Family Detached,Panama City,Bay,FL,30.240537,-85.525917,SM-29,Bay County Submarket 2,201,189,33.0,12.0
5BCEACE6-4D2B-48D5-8993-590F821022E5,Breezy Meadows,Herbst Homes ,Built Out,Single-Family Detached,Milton,Santa Rosa,FL,30.590091,-86.964257,SM-10,Milton,20,0,0.0,4.0
4A98620F-866E-4687-B946-3E9360CF0149,Grande Oaks (Walton),CJL Homes,Active,Single-Family Detached,Freeport,Walton,FL,30.496365,-86.151716,SM-20,Freeport,36,9,0.0,4.0
